"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Jamal Agnew","JAC","12.0","135.8","0.7","8.6","56.3","0.4","0.1","37.5"
"Montrell Washington","DEN","13.0","174.0","1.0","0.0","0.0","0.0","0.0","36.4"
"Dez Fitzpatrick","TEN","13.1","175.3","1.0","0.0","0.0","0.0","0.0","36.4"
"Equanimeous St. Brown","CHI","12.6","175.8","0.9","0.0","0.0","0.0","0.1","35.3"
"Chester Rogers","HOU","14.4","161.2","0.8","0.0","0.0","0.0","0.0","35.1"
"Dyami Brown","WAS","11.7","180.4","0.9","0.0","0.0","0.0","0.0","34.8"
"Kalif Raymond","DET","12.5","150.5","1.0","0.7","4.2","0.0","0.0","33.9"
"Quintez Cephus","DET","11.0","149.2","1.3","0.0","0.0","0.0","0.0","33.8"
"Chris Moore","HOU","14.0","152.3","0.7","0.0","0.0","0.0","0.1","33.3"
"Zach Pascal","PHI","11.6","147.2","1.1","0.3","1.8","0.0","0.0","33.1"
"Damiere Byrd","ATL","13.1","152.0","0.7","0.0","0.0","0.0","0.1","32.6"
"Ty Montgomery","NE","10.3","99.2","0.5","9.7","56.9","0.5","0.0","31.9"
"Erik Ezukanma","MIA","10.9","149.1","1.0","0.0","0.0","0.0","0.1","31.6"
"Ray-Ray McCloud","SF","12.4","139.8","0.8","0.0","0.0","0.0","0.0","31.1"
"Anthony Miller","PIT","12.1","144.1","0.7","0.0","0.0","0.0","0.0","31.0"
"Ihmir Smith-Marsette","MIN","11.4","141.6","0.8","0.0","0.0","0.0","0.1","30.4"
"Cody Hollister","TEN","11.3","133.2","0.9","0.0","0.0","0.0","0.0","30.1"
"Antoine Wesley","ARI","11.0","135.5","0.9","0.0","0.0","0.0","0.0","29.8"
"Lynn Bowden Jr.","MIA","11.4","117.5","0.6","2.3","14.3","0.1","0.0","28.8"
"Breshad Perriman","TB","9.3","133.0","0.9","0.0","0.0","0.0","0.0","28.2"
"Ja'Marcus Bradley","CLE","10.0","128.9","0.7","0.0","0.0","0.0","0.0","27.0"
"Kristian Wilkerson","NE","10.1","117.7","0.8","0.0","0.0","0.0","0.0","26.5"
"Brandon Zylstra","CAR","9.4","119.0","0.6","0.0","0.0","0.0","0.1","24.7"
"Tutu Atwell","LAR","8.8","112.2","0.8","0.0","0.0","0.0","0.1","24.4"
"Ashton Dulin","IND","8.1","107.2","0.6","1.2","7.5","0.1","0.1","23.5"
"Trent Sherfield","MIA","8.7","110.0","0.6","0.0","0.0","0.0","0.0","23.5"
"Tyquan Thornton","NE","8.7","102.5","0.7","0.0","0.0","0.0","0.1","22.7"
"Albert Wilson","MIN","7.5","77.2","0.5","4.4","27.7","0.2","0.0","22.5"
"Tyler Johnson","TB","8.8","101.1","0.6","0.0","0.0","0.0","0.0","22.4"
"Richie James Jr.","NYG","8.0","100.2","0.5","0.0","0.0","0.0","0.1","20.8"
"Dennis Houston","DAL","10.0","107.0","0.0","0.0","0.0","0.0","0.0","20.7"
"Danny Gray","SF","7.8","90.6","0.5","0.0","0.0","0.0","0.1","19.5"
"Penny Hart","SEA","8.0","85.3","0.5","0.0","0.0","0.0","0.0","19.4"
"Samori Toure","GB","6.8","80.6","0.7","0.0","0.0","0.0","0.0","19.1"
"Juwann Winfree","GB","7.2","83.8","0.6","0.0","0.0","0.0","0.0","19.1"
"Terry Godwin","TEN","6.9","85.7","0.5","0.0","0.0","0.0","0.0","18.5"
"Jeff Smith","NYJ","6.7","90.3","0.5","0.0","0.0","0.0","0.0","18.5"
"Miles Boykin","PIT","6.6","85.8","0.5","0.0","0.0","0.0","0.0","18.2"
"Dazz Newsome","CHI","6.6","87.5","0.5","0.0","0.0","0.0","0.0","18.2"
"Isaiah Ford","IND","6.9","78.5","0.5","0.0","0.0","0.0","0.0","17.8"
"Preston Williams","MIA","6.8","79.2","0.5","0.0","0.0","0.0","0.0","17.7"
"Khalil Shakir","BUF","6.6","78.2","0.5","0.7","4.0","0.0","0.0","17.7"
"Chad Beebe","HOU","7.0","83.3","0.4","0.0","0.0","0.0","0.0","17.5"
"Trey Quinn","DEN","6.0","95.5","0.3","0.0","0.0","0.0","0.0","17.5"
"Simi Fehoko","DAL","6.1","80.2","0.5","0.0","0.0","0.0","0.0","17.3"
"Christian Blake","PIT","6.8","76.6","0.5","0.0","0.0","0.0","0.0","17.2"
"Auden Tate","ATL","6.2","80.0","0.5","0.0","0.0","0.0","0.0","17.0"
"Kyle Philips","TEN","7.2","82.6","0.3","0.0","0.0","0.0","0.0","16.9"
"Josh Malone","TEN","6.3","73.0","0.5","0.0","0.0","0.0","0.0","16.7"
"Marcus Johnson","SF","6.0","73.9","0.5","0.0","0.0","0.0","0.0","16.5"
"Jalen Reagor","PHI","5.7","61.6","0.4","3.1","17.1","0.1","0.1","16.4"
"Tre'Quan Smith","NO","6.4","68.0","0.5","0.0","0.0","0.0","0.0","16.2"
"N'Keal Harry","CHI","5.8","75.5","0.4","0.0","0.0","0.0","0.0","15.6"
"Tajae Sharpe","CHI","5.9","71.4","0.4","0.0","0.0","0.0","0.0","15.5"
"Dezmon Patmon","IND","5.4","67.3","0.5","0.0","0.0","0.0","0.0","15.4"
"T.J. Vasher","DAL","5.6","64.9","0.6","0.0","0.0","0.0","0.0","15.4"
"Deonte Harty","NO","4.7","63.9","0.5","1.3","11.0","0.0","0.0","15.3"
"Mike Strachan","IND","5.8","68.2","0.5","0.0","0.0","0.0","0.0","15.3"
"Racey McMath","TEN","5.4","70.9","0.4","0.0","0.0","0.0","0.0","14.9"
"David Moore","CHI","5.5","69.1","0.4","0.0","0.0","0.0","0.0","14.5"
"DeAndre Carter","LAC","5.4","64.8","0.4","0.0","0.0","0.0","0.0","14.2"
"Greg Ward","PHI","5.3","61.5","0.4","0.0","0.0","0.0","0.0","13.9"
"Javon Wims","CLE","5.9","59.3","0.3","0.0","0.0","0.0","0.0","13.8"
"Marquise Goodwin","SEA","4.8","67.1","0.3","0.0","0.0","0.0","0.0","13.3"
"Mohamed Sanu Sr.","MIA","5.8","54.2","0.4","0.0","0.0","0.0","0.0","13.2"
"Trent Taylor","CIN","4.6","56.4","0.4","0.0","0.0","0.0","0.0","12.5"
"Andre Roberts","CAR","3.9","67.6","0.3","0.0","0.0","0.0","0.0","12.5"
"Tyron Johnson","LV","4.5","57.4","0.4","0.0","0.0","0.0","0.0","12.5"
"Mack Hollins","LV","4.0","59.0","0.4","0.0","0.0","0.0","0.0","12.3"
"Mike Thomas","CIN","4.6","55.3","0.3","0.0","0.0","0.0","0.0","12.0"
"Tyrie Cleveland","DEN","4.3","50.7","0.4","0.0","0.0","0.0","0.0","11.6"
