"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"245",11,"Brandon McManus",DEN,"K13","9","4 out of 5 stars","-53"
"246",11,"Isaiah McKenzie",BUF,"WR89","7","4 out of 5 stars","-11"
"247",11,"Baker Mayfield",CAR,"QB28","13","3 out of 5 stars","-42"
"248",12,"Davis Mills",HOU,"QB29","6","4 out of 5 stars","-14"
"249",12,"Robbie Gould",SF,"K14","9","3 out of 5 stars","-20"
"250",12,"Zay Jones",JAC,"WR90","11","4 out of 5 stars","+57"
"251",12,"Jeff Wilson Jr.",SF,"RB72","9","2 out of 5 stars","+16"
"252",12,"Jake Elliott",PHI,"K15","7","2 out of 5 stars","-12"
"253",12,"William Fuller V",FA,"WR91","-","-","+13"
"254",12,"Bryan Edwards",ATL,"WR92","14","4 out of 5 stars","+66"
"255",12,"Cincinnati Bengals",CIN,"DST19","10","4 out of 5 stars","-40"
"256",12,"Rex Burkhead",HOU,"RB73","6","3 out of 5 stars","+13"
"257",12,"Tennessee Titans",TEN,"DST20","6","2 out of 5 stars","-43"
"258",12,"Carolina Panthers",CAR,"DST21","13","4 out of 5 stars","-1"
"259",12,"Dustin Hopkins",LAC,"K16","8","5 out of 5 stars","-31"
"260",12,"Mo Alie-Cox",IND,"TE29","14","2 out of 5 stars","+12"
"261",12,"Dan Arnold",JAC,"TE30","11","4 out of 5 stars","+130"
"262",12,"Randall Cobb",GB,"WR93","14","3 out of 5 stars","-21"
"263",12,"Mike Davis",BAL,"RB74","10","4 out of 5 stars","+1"
"264",12,"Odell Beckham Jr.",FA,"WR94","-","-","-43"
"265",12,"Greg Zuerlein",NYJ,"K17","10","0 out of 5 stars","+49"
"266",12,"Sammy Watkins",GB,"WR95","14","3 out of 5 stars","-54"
"267",12,"Marquez Callaway",NO,"WR96","14","4 out of 5 stars","+15"
"268",12,"C.J. Uzomah",NYJ,"TE31","10","3 out of 5 stars","-7"
"269",12,"Minnesota Vikings",MIN,"DST22","7","2 out of 5 stars","-53"
"270",12,"Wil Lutz",NO,"K18","14","4 out of 5 stars","-37"
"271",12,"Cedrick Wilson Jr.",MIA,"WR97","11","2 out of 5 stars","+30"
"272",12,"Chris Boswell",PIT,"K19","9","3 out of 5 stars","-42"
"273",12,"Zack Moss",BUF,"RB75","7","4 out of 5 stars","+29"
"274",12,"Chicago Bears",CHI,"DST23","14","1 out of 5 stars","+5"
"275",12,"Mason Crosby",GB,"K20","14","4 out of 5 stars","-27"
"276",12,"Marcus Mariota",ATL,"QB30","14","3 out of 5 stars","-3"
"277",12,"Nelson Agholor",NE,"WR98","10","4 out of 5 stars","+63"
"278",12,"Cameron Brate",TB,"TE32","11","3 out of 5 stars","-69"
"279",12,"Matt Breida",NYG,"RB76","9","3 out of 5 stars","-16"
"280",12,"Graham Gano",NYG,"K21","9","1 out of 5 stars","-33"
"281",12,"Romeo Doubs",GB,"WR99","14","3 out of 5 stars","-84"
"282",12,"Washington Commanders",WAS,"DST24","14","1 out of 5 stars","-56"
"283",12,"Tre'Quan Smith",NO,"WR100","14","4 out of 5 stars","+109"
"284",12,"Jason Myers",SEA,"K22","11","5 out of 5 stars","+24"
"285",12,"Trey McBride",ARI,"TE33","13","3 out of 5 stars","+19"
"286",12,"O.J. Howard",BUF,"TE34","7","3 out of 5 stars","+58"
"287",12,"Hassan Haskins",TEN,"RB77","6","4 out of 5 stars","-45"
"288",12,"New York Giants",NYG,"DST25","9","2 out of 5 stars","-29"
"289",12,"Mitch Trubisky",PIT,"QB31","9","3 out of 5 stars","-11"
"290",12,"Greg Joseph",MIN,"K23","7","0 out of 5 stars","-51"
"291",12,"Cairo Santos",CHI,"K24","14","3 out of 5 stars","+20"
"292",12,"Seattle Seahawks",SEA,"DST26","11","3 out of 5 stars","+3"
"293",12,"Darius Slayton",NYG,"WR101","9","4 out of 5 stars","+112"
"294",12,"Eno Benjamin",ARI,"RB78","13","2 out of 5 stars","-7"
"295",12,"New York Jets",NYJ,"DST27","10","4 out of 5 stars","-33"
"296",12,"Randy Bullock",TEN,"K25","6","3 out of 5 stars","-3"
"297",12,"Ty Johnson",NYJ,"RB79","10","4 out of 5 stars","+101"
"298",13,"Josh Reynolds",DET,"WR102","6","3 out of 5 stars","+61"
"299",13,"Chris Evans",CIN,"RB80","10","3 out of 5 stars","-43"
"300",13,"Quez Watkins",PHI,"WR103","7","4 out of 5 stars","+35"
"301",13,"Ka'imi Fairbairn",HOU,"K26","6","4 out of 5 stars","+52"
"302",13,"Phillip Lindsay",IND,"RB81","14","3 out of 5 stars","-8"
"303",13,"Jacksonville Jaguars",JAC,"DST28","11","2 out of 5 stars","+39"
"304",13,"Ke'Shawn Vaughn",TB,"RB82","11","2 out of 5 stars","-15"
"305",13,"Pierre Strong Jr.",NE,"RB83","10","4 out of 5 stars","+19"
"306",13,"Jalen Reagor",PHI,"WR104","7","4 out of 5 stars","-"
